Id,Label
timothyronald22,timothyronald22
Persuasi_id,Persuasi_id
muel_cristin,muel_cristin
Serenz0_,Serenz0_
menuksutrisno,menuksutrisno
SBYudhoyono,SBYudhoyono
bebrykes,bebrykes
prokaldotco,prokaldotco
geloraco,geloraco
Faitoofficial,Faitoofficial
webelshinta,webelshinta
yudhadsn,yudhadsn
bete_sama_kamu,bete_sama_kamu
najib_prasetyo2,najib_prasetyo2
AchsanKhan,AchsanKhan
kanalbali,kanalbali
hiibernasi,hiibernasi
djaycoholyc,djaycoholyc
nd_nughro,nd_nughro
waffer_n,waffer_n
gnzt6,gnzt6
Marsinahid,Marsinahid
timbaluss,timbaluss
ANTARAJatim_,ANTARAJatim_
medyrenaldy_,medyrenaldy_
i_ervans,i_ervans
ManaluHumiras,ManaluHumiras
pongkibarata,pongkibarata
annaskaryadi,annaskaryadi
Bambang_Budimab,Bambang_Budimab
anastasyuuu,anastasyuuu
kuromajo14,kuromajo14
aromapetrikorr,aromapetrikorr
calumhooes,calumhooes
SuryaAj81671816,SuryaAj81671816
idnws_com,idnws_com
ppisangggg,ppisangggg
txtdarisukabumi,txtdarisukabumi
Anak__Ogi,Anak__Ogi
gukzie,gukzie
tokreiv,tokreiv
_sonofasnitch,_sonofasnitch
HMJ_Unpad,HMJ_Unpad
detikjabar_,detikjabar_
sulingelektrik,sulingelektrik
akuratco,akuratco
DiahiraSuny,DiahiraSuny
bernarasiii,bernarasiii
AdityaMeiliala,AdityaMeiliala
jiungnaling,jiungnaling
hurjly,hurjly
pinterpolitik,pinterpolitik
twentytwokid,twentytwokid
TVMuhammadiyah,TVMuhammadiyah
dimzsky_,dimzsky_
HumorJonTampan,HumorJonTampan
sinardyas,sinardyas
martabucksx,martabucksx
clawhs02,clawhs02
safenetvoice,safenetvoice
Dennysiregar7,Dennysiregar7
Armasnurbahari,Armasnurbahari
NEW_BERITAANDA,NEW_BERITAANDA
KaptenMala44,KaptenMala44
DDivianta24,DDivianta24
melekmedia,melekmedia
nusapelagos,nusapelagos
txtdriprogresif,txtdriprogresif
JambiposI,JambiposI
AjWidjanarko_,AjWidjanarko_
UnxpectedUxp,UnxpectedUxp
voxjournalistkw,voxjournalistkw
BdgBergerakID,BdgBergerakID
Aldo_regi15,Aldo_regi15
anggaa_93,anggaa_93
republikaonline,republikaonline
_ultrami,_ultrami
andikamalreza,andikamalreza
tomskitomska,tomskitomska
Istricantikmuu,Istricantikmuu
srii_ratnaa,srii_ratnaa
kemkominfo,kemkominfo
Bisniscom,Bisniscom
malin_palimo,malin_palimo
tiranosansss,tiranosansss
lpmsuaka,lpmsuaka
tokobintang21,tokobintang21
SKHmemorandum,SKHmemorandum
oryza_wirawan,oryza_wirawan
sweet_girlyyyy,sweet_girlyyyy
folkandalas,folkandalas
infobogor,infobogor
zainalamochtar,zainalamochtar
RadjaRasta_,RadjaRasta_
gabuterssst,gabuterssst
IDNTimesJabar,IDNTimesJabar
narasitv,narasitv
frankfustein,frankfustein
seputarbaliNews,seputarbaliNews
fourxio,fourxio
blebiuokami,blebiuokami
hmmdiar,hmmdiar
ScuderiaUnited5,ScuderiaUnited5
argentas58,argentas58
klappertart_,klappertart_
tompocophone,tompocophone
olahankedelai,olahankedelai
bacottetangga_,bacottetangga_
CurhatKRL,CurhatKRL
NasDem,NasDem
cozynnamon,cozynnamon
amprastyo17,amprastyo17
herllynnnn,herllynnnn
dirasatri,dirasatri
otonominews2,otonominews2
andreanmlnn,andreanmlnn
nianugroho,nianugroho
kumparan,kumparan
frierensaga,frierensaga
pambudiPati,pambudiPati
RM_RajaMedia,RM_RajaMedia
jstwillians,jstwillians
mochramdhani24,mochramdhani24
Fadlipenyair12,Fadlipenyair12
bainanjia,bainanjia
SilumanPantura,SilumanPantura
AdiOfN,AdiOfN
nnajhann,nnajhann
edensorian,edensorian
Hamdiirawan17,Hamdiirawan17
negativisme,negativisme
admjurnalpantu1,admjurnalpantu1
SiaranBolaLive,SiaranBolaLive
Vicria_2511,Vicria_2511
_balabadik,_balabadik
gay_ass_link,gay_ass_link
iwalanwar,iwalanwar
anasisil_,anasisil_
VIVAcoid,VIVAcoid
knpharuspeduli,knpharuspeduli
pie_ceofher,pie_ceofher
tommysetiady,tommysetiady
kangdede78,kangdede78
bungaaah_,bungaaah_
Kimberley_PS08,Kimberley_PS08
roan_gylberth,roan_gylberth
IdTrimurti,IdTrimurti
superradioid,superradioid
BudiBukanIntel,BudiBukanIntel
devi_pray,devi_pray
SamaliBoi,SamaliBoi
SoeTjenMarching,SoeTjenMarching
bimaandityaa,bimaandityaa
AJIBdg,AJIBdg
Fai03vrd,Fai03vrd
AdityaJere89853,AdityaJere89853
Himiaumj,Himiaumj
gb_sleepy,gb_sleepy
gioandre9_,gioandre9_
LylySophie1,LylySophie1
setengahearti,setengahearti
Popularitascom,Popularitascom
bambang314,bambang314
PantauNewsRiau,PantauNewsRiau
buzzingidn,buzzingidn
updatebalii,updatebalii
aefhilv,aefhilv
asdfghnsjkl,asdfghnsjkl
cumamedan,cumamedan
rubahcungkrin9,rubahcungkrin9
summer_sky_001,summer_sky_001
PKSejahtera,PKSejahtera
Leviathan5th,Leviathan5th
aidimediadump,aidimediadump
zenincarr,zenincarr
kwekism,kwekism
lipodiana,lipodiana
Purrell_Fiktif,Purrell_Fiktif
abedd98,abedd98
waspadadotid,waspadadotid
Coklatjellyy,Coklatjellyy
eradotid,eradotid
PDI_Perjuangan,PDI_Perjuangan
cyactus,cyactus
grok,grok
heralddotID,heralddotID
GerakinUI,GerakinUI
clayiskoro,clayiskoro
ottm4r,ottm4r
HaveAniesDay,HaveAniesDay
fischellene,fischellene
chronicalmoon,chronicalmoon
HukumOnline,HukumOnline
pasifisstate,pasifisstate
al_yulianra,al_yulianra
mosidik,mosidik
EfanSteph,EfanSteph
voldemoods,voldemoods
nafizal_mu,nafizal_mu
tvr_parlemen,tvr_parlemen
juvegaristabah,juvegaristabah
pengamatTLine,pengamatTLine
dipanggilwawan,dipanggilwawan
Miroliaa,Miroliaa
thafism__,thafism__
islamtoday_news,islamtoday_news
sprawl_mountain,sprawl_mountain
PrayogiSandy,PrayogiSandy
wijayaarx,wijayaarx
SetopKorupsi,SetopKorupsi
magdaleneid,magdaleneid
BeritaBorneo1,BeritaBorneo1
karinajonkwe,karinajonkwe
NidaaIsti,NidaaIsti
krisna_ant,krisna_ant
IDNTimes,IDNTimes
haluanharian,haluanharian
GeiszChalifah,GeiszChalifah
pojok6indonesia,pojok6indonesia
Rigensih,Rigensih
tizaki09,tizaki09
rapunjellyeuw,rapunjellyeuw
_thisjoys,_thisjoys
anggapph2,anggapph2
baramenggema,baramenggema
radioru20816532,radioru20816532
merdekadotcom,merdekadotcom
StefanAntonio__,StefanAntonio__
_jogja,_jogja
Singo_Yudho5,Singo_Yudho5
Lajuneji23,Lajuneji23
pranaladotco,pranaladotco
internetmain,internetmain
KompasKlasika,KompasKlasika
senjayustitia,senjayustitia
aidan_putraa,aidan_putraa
agakpusingk,agakpusingk
MiskinTV_,MiskinTV_
buziniss,buziniss
Kusumah94841006,Kusumah94841006
matakamera_net,matakamera_net
jvncs_,jvncs_
hhanncock,hhanncock
sumatera2460011,sumatera2460011
seijisuzuki6,seijisuzuki6
williamg1808,williamg1808
radartangsel_,radartangsel_
tvindonesiawkwk,tvindonesiawkwk
glohsyi,glohsyi
ChangeOrg_ID,ChangeOrg_ID
devanokencana,devanokencana
susiloian5,susiloian5
bhres_,bhres_
HamalHamdani,HamalHamdani
dimstrds,dimstrds
enicmat,enicmat
distori_id,distori_id
tvrijateng,tvrijateng
barqimunir06,barqimunir06
SandyOE988,SandyOE988
utiyanath,utiyanath
angewwie,angewwie
putiihandayy,putiihandayy
ultramiruwku,ultramiruwku
fullchanieee,fullchanieee
cinnamongirlc,cinnamongirlc
Hiemuzaaa,Hiemuzaaa
rakyatterkini,rakyatterkini
coffeeteandmilk,coffeeteandmilk
arvendomh,arvendomh
messylochness,messylochness
sumarsih11,sumarsih11
miqbalhm1,miqbalhm1
OposisiCerdas,OposisiCerdas
creative_id1,creative_id1
BetaEpsilonPhi,BetaEpsilonPhi
grafy08pluto,grafy08pluto
MamenPlegmatis,MamenPlegmatis
tulisannnnn,tulisannnnn
deantaraxan,deantaraxan
soskenthu,soskenthu
ardisatriawan,ardisatriawan
jakartaramble,jakartaramble
muhhussen,muhhussen
mitcukki,mitcukki
beritasumut77,beritasumut77
oxydoom,oxydoom
mengeluarkan,mengeluarkan
pramonoanung,pramonoanung
alisyarief,alisyarief
IDNTimesSumut,IDNTimesSumut
adhepur,adhepur
nu_online,nu_online
msaid_didu,msaid_didu
ofcimrrrud,ofcimrrrud
Nurulbona,Nurulbona
dantsus,dantsus
fahridh2,fahridh2
Arga8S,Arga8S
_yuiazu,_yuiazu
dkotama,dkotama
layarnews_,layarnews_
yangjualankopi,yangjualankopi
kastanye__,kastanye__
intermediapro_,intermediapro_
sinpotv,sinpotv
akuzyu,akuzyu
SINDIKASI_,SINDIKASI_
resta_gulayah,resta_gulayah
seruanhl,seruanhl
dicky_santo88,dicky_santo88
Nara_IDN,Nara_IDN
yusrinanggraini,yusrinanggraini
jawirisme,jawirisme
bfndrk,bfndrk
alpukatnuklir,alpukatnuklir
FreshmanXdavid,FreshmanXdavid
nuvillaera,nuvillaera
KasbiIndo,KasbiIndo
777luckiest,777luckiest
AngyBirbs,AngyBirbs
hambatan_bebas,hambatan_bebas
djaja1995,djaja1995
hooniethelima,hooniethelima
fadkars,fadkars
Firados1,Firados1
TxtdariHI,TxtdariHI
hargocoid,hargocoid
jalalil666,jalalil666
ekky1995,ekky1995
Iwantrianto6,Iwantrianto6
tersendal,tersendal
wibowo_choir,wibowo_choir
TVRI_Jambi,TVRI_Jambi
yasir_badwi65,yasir_badwi65
KabarMakassarr,KabarMakassarr
radarnasional_,radarnasional_
afterlifedie,afterlifedie
ireneclaire202,ireneclaire202
progresip_,progresip_
wannafigh,wannafigh
oerbancom,oerbancom
yosefikr,yosefikr
foxtrotvlrt,foxtrotvlrt
author_wetpet,author_wetpet
thalissuffering,thalissuffering
aurora_usada024,aurora_usada024
dbluestarqueen,dbluestarqueen
capekbner,capekbner
cips_id,cips_id
samw41l,samw41l
peter_parkour12,peter_parkour12
wisnu_prasetya,wisnu_prasetya
memoirely,memoirely
MerrMagda,MerrMagda
jokoanwar,jokoanwar
paklik_dy,paklik_dy
aeueeeh,aeueeeh
puspenpol,puspenpol
olanzaphine,olanzaphine
marho_maxi,marho_maxi
ivooxid,ivooxid
mojislikethis,mojislikethis
dancingrain2020,dancingrain2020
menaerus,menaerus
aauright_here,aauright_here
mahdinosaur,mahdinosaur
tribunjambiku,tribunjambiku
adri_7i,adri_7i
inggritfrilly,inggritfrilly
someduck_lvr,someduck_lvr
G0mb4k,G0mb4k
skinnyfroglegss,skinnyfroglegss
shafarrraj,shafarrraj
nedo_oden,nedo_oden
IrfanBephe,IrfanBephe
rebase_nft,rebase_nft
andi_chairil,andi_chairil
bellaViztaa,bellaViztaa
txtdarimaskael5,txtdarimaskael5
MichelAdam7__,MichelAdam7__
_rwis26,_rwis26
psoobean,psoobean
